# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.14613 0.6220112443 2.3354349136    0.622 -1.086  3.6064  4.696    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-15      0.00 7.094e-01 2.753e-01 2.744e-03 7.402e-04 6.713e-03 -1.000 1.522e-02 7.486 12.100 9.251 7.962 7.373 7.056
0.0152 0.01508 8.14613 0.6499999762 2.3520355225    0.650 -1.000  3.6208  4.686    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-15      0.00 7.094e-01 2.753e-01 2.743e-03 7.401e-04 6.712e-03 -1.000 1.527e-02 7.269 11.730 8.879 7.631 7.119 6.847
0.0152 0.01508 8.14613 0.7000000477 2.3779268265    0.700 -0.847  3.6480  4.674    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.87e-15      0.00 7.095e-01 2.752e-01 2.743e-03 7.400e-04 6.712e-03 -1.000 1.526e-02 6.888 10.928 8.177 7.049 6.678 6.485
0.0152 0.01508 8.14613 0.7379167080 2.3948945999    0.738 -0.737  3.6683  4.668    0  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.096e-01 2.752e-01 2.714e-03 7.391e-04 6.710e-03 -1.000 1.523e-02 6.612 10.185 7.659 6.658 6.364 6.217
0.0152 0.01508 8.14613 0.7500000000 2.3998889923    0.750 -0.703  3.6745  4.666    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-14      0.00 7.096e-01 2.752e-01 2.706e-03 7.389e-04 6.711e-03 -1.000 1.525e-02 6.527 9.951 7.507 6.547 6.271 6.134
0.0152 0.01508 8.14613 0.7834371328 2.4127910137    0.783 -0.616  3.6875  4.650    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.63e-14      0.00 7.096e-01 2.751e-01 2.705e-03 7.388e-04 6.710e-03 -1.000 1.527e-02 6.310 9.442 7.160 6.283 6.040 5.925
0.0152 0.01508 8.14613 0.8000000119 2.4187245369    0.800 -0.574  3.6940  4.643    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.096e-01 2.751e-01 2.705e-03 7.387e-04 6.710e-03 -1.000 1.527e-02 6.206 9.199 6.998 6.160 5.931 5.826
0.0152 0.01508 8.14613 0.8500000238 2.4350347519    0.850 -0.453  3.7127  4.623    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-14      0.00 7.098e-01 2.750e-01 2.705e-03 7.386e-04 6.709e-03 -1.000 1.520e-02 5.902 8.512 6.543 5.811 5.619 5.542
0.0152 0.01508 8.14613 0.9000000358 2.4492788315    0.899 -0.338  3.7297  4.601    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.04e-14      0.00 7.098e-01 2.750e-01 2.704e-03 7.384e-04 6.707e-03 -1.000 1.526e-02 5.616 7.911 6.145 5.496 5.333 5.278
0.0152 0.01508 8.14613 0.9500000477 2.4618122578    0.950 -0.230  3.7447  4.576    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-14      0.00 7.099e-01 2.748e-01 2.703e-03 7.381e-04 6.704e-03 -1.000 1.525e-02 5.344 7.372 5.784 5.209 5.072 5.036
0.0152 0.01508 8.14613 1.0000000000 2.4729156494    1.000 -0.121  3.7586  4.545    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.07e-14      0.00 7.101e-01 2.747e-01 2.702e-03 7.377e-04 6.701e-03 -1.000 1.525e-02 5.073 6.860 5.443 4.934 4.818 4.798
0.0152 0.01508 8.14613 1.0499999523 2.4828116894    1.050 -0.018  3.7712  4.514    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-14      0.00 7.103e-01 2.745e-01 2.700e-03 7.372e-04 6.697e-03 -1.000 1.520e-02 4.815 6.415 5.128 4.678 4.581 4.577
