#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 123  1.085125  3.7964  4.2414  0.3717  5.1627  4.0384  3.7140  3.6553  3.6818
 124  1.088248  3.7966  4.2360  0.3794  5.1417  4.0185  3.6947  3.6363  3.6630
 125  1.091596  3.7969  4.2302  0.3876  5.1200  3.9976  3.6742  3.6160  3.6430
 126  1.095119  3.7972  4.2240  0.3964  5.0969  3.9752  3.6523  3.5944  3.6216
 127  1.098742  3.7975  4.2172  0.4058  5.0727  3.9515  3.6289  3.5712  3.5987
 128  1.102520  3.7977  4.2093  0.4159  5.0470  3.9258  3.6035  3.5460  3.5735
 129  1.106847  3.7979  4.1995  0.4279  5.0168  3.8954  3.5734  3.5162  3.5438
 130  1.111564  3.7979  4.1875  0.4420  4.9821  3.8602  3.5385  3.4814  3.5091
 131  1.116343  3.7979  4.1741  0.4571  4.9451  3.8225  3.5012  3.4440  3.4717
 132  1.121014  3.7977  4.1599  0.4723  4.9079  3.7841  3.4632  3.4060  3.4335
 133  1.125478  3.7975  4.1457  0.4872  4.8721  3.7470  3.4264  3.3690  3.3963
 134  1.129679  3.7972  4.1320  0.5012  4.8391  3.7124  3.3920  3.3343  3.3612
 135  1.133600  3.7967  4.1189  0.5139  4.8094  3.6811  3.3607  3.3026  3.3290
 136  1.137233  3.7962  4.1068  0.5256  4.7829  3.6528  3.3324  3.2736  3.2996
 137  1.140600  3.7958  4.0962  0.5360  4.7586  3.6271  3.3067  3.2474  3.2731
 138  1.143711  3.7955  4.0865  0.5452  4.7382  3.6050  3.2841  3.2244  3.2496
 139  1.146581  3.7950  4.0772  0.5537  4.7200  3.5849  3.2636  3.2033  3.2279
 140  1.149233  3.7945  4.0683  0.5617  4.7033  3.5659  3.2437  3.1828  3.2068
 141  1.151702  3.7942  4.0587  0.5710  4.6843  3.5439  3.2202  3.1587  3.1824
 142  1.154008  3.7938  4.0495  0.5795  4.6671  3.5235  3.1980  3.1360  3.1594
 143  1.156165  3.7936  4.0410  0.5877  4.6514  3.5046  3.1770  3.1147  3.1377
 144  1.158214  3.7932  4.0326  0.5955  4.6363  3.4862  3.1567  3.0938  3.1165
 145  1.160162  3.7932  4.0267  0.6019  4.6216  3.4705  3.1398  3.0770  3.0995
 146  1.162043  3.7929  4.0209  0.6073  4.6126  3.4583  3.1253  3.0621  3.0843
 147  1.163848  3.7926  4.0150  0.6127  4.6035  3.4458  3.1104  3.0468  3.0688
 148  1.165584  3.7923  4.0086  0.6186  4.5944  3.4326  3.0944  3.0305  3.0521
 149  1.167277  3.7918  4.0011  0.6247  4.5876  3.4197  3.0777  3.0131  3.0342
 150  1.168944  3.7912  3.9932  0.6307  4.5826  3.4076  3.0611  2.9956  3.0159
 151  1.170594  3.7905  3.9849  0.6367  4.5792  3.3961  3.0446  2.9780  2.9975
 152  1.172235  3.7896  3.9761  0.6426  4.5777  3.3853  3.0281  2.9602  2.9787
